"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"no checking",24,"critical/order existing credit","used car",2197,"no known savings","4<=X<7",4,"male single","none",4,"car",43,"stores","own",2,"skilled",2,"yes","yes","good"
"<0",15,"existing paid","radio/tv",1053,"<100","<1",4,"male mar/wid","none",2,"real estate",27,"stores","own",1,"skilled",1,"none","no","good"
"no checking",24,"existing paid","radio/tv",3235,"500<=X<10000",">=7",3,"male div/sep","none",2,"car",26,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
">=200",12,"critical/order existing credit","new car",939,"500<=X<10000","4<=X<7",4,"male mar/wid","none",2,"real estate",28,"stores","own",3,"skilled",1,"yes","yes","bad"
"0<=X<200",24,"existing paid","radio/tv",1967,"<100",">=7",4,"female div/dep/mar","none",4,"car",20,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",33,"critical/order existing credit","used car",7253,"<100","4<=X<7",3,"male single","none",2,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","business",2292,"<100","unemployed",4,"male single","none",2,"car",42,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",10,"existing paid","new car",1597,"500<=X<10000","1<=X<4",3,"male single","none",2,"no known property",40,"stores","rent",1,"unskilled resident",2,"none","no","good"
"<0",24,"existing paid","new car",1381,"no known savings","1<=X<4",4,"female div/dep/mar","none",2,"life insurance",35,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",36,"critical/order existing credit","used car",5842,"<100",">=7",2,"male single","none",2,"life insurance",35,"stores","own",2,"skilled",2,"yes","yes","good"
"<0",12,"existing paid","new car",2579,"<100","<1",4,"male single","none",1,"real estate",33,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"<0",18,"delayed previously","education",8471,"no known savings","1<=X<4",1,"female div/dep/mar","none",2,"car",23,"stores","rent",2,"skilled",1,"yes","yes","good"
"no checking",21,"existing paid","new car",2782,"500<=X<10000","4<=X<7",1,"female div/dep/mar","none",2,"car",31,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"0<=X<200",18,"existing paid","new car",1042,"no known savings","1<=X<4",4,"female div/dep/mar","none",2,"life insurance",33,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",15,"existing paid","new car",3186,">=1000","4<=X<7",2,"female div/dep/mar","none",3,"car",20,"stores","rent",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","used car",2028,"no known savings","1<=X<4",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"critical/order existing credit","new car",958,"<100","4<=X<7",2,"male single","none",3,"real estate",47,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",21,"delayed previously","furniture/equipment",1591,"100<=X<500","4<=X<7",4,"male single","none",3,"real estate",34,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","good"
"0<=X<200",12,"existing paid","furniture/equipment",2762,"no known savings",">=7",1,"female div/dep/mar","none",2,"life insurance",25,"bank","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",18,"existing paid","used car",2779,"<100","1<=X<4",1,"male single","none",3,"car",21,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",28,"critical/order existing credit","radio/tv",2743,"<100",">=7",4,"male single","none",2,"car",29,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1149,">=1000","1<=X<4",4,"male single","none",3,"real estate",46,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",9,"existing paid","furniture/equipment",1313,"<100",">=7",1,"male single","none",4,"car",20,"stores","own",1,"skilled",1,"none","yes","good"
"<0",18,"critical/order existing credit","repairs",1190,"<100","unemployed",2,"female div/dep/mar","none",4,"no known property",55,"stores","for free",3,"unemp/unskilled non res",1,"none","yes","bad"
"no checking",5,"existing paid","business",3448,"100<=X<500","4<=X<7",1,"male single","none",4,"real estate",74,"stores","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",24,"existing paid","other",11328,"<100","1<=X<4",2,"male single","co applicant",3,"car",29,"bank","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",6,"critical/order existing credit","furniture/equipment",1872,"<100","unemployed",4,"male single","none",4,"no known property",36,"stores","for free",3,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",24,"critical/order existing credit","repairs",2058,"<100","1<=X<4",4,"male div/sep","none",2,"real estate",33,"stores","own",2,"skilled",1,"yes","yes","good"
"<0",9,"existing paid","furniture/equipment",2136,"<100","1<=X<4",3,"male single","none",2,"real estate",25,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",1484,"no known savings","1<=X<4",2,"male mar/wid","none",1,"real estate",25,"stores","own",1,"skilled",1,"yes","yes","bad"
"no checking",6,"existing paid","repairs",660,"500<=X<10000","4<=X<7",2,"male mar/wid","none",4,"real estate",23,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"no checking",24,"critical/order existing credit","new car",1287,">=1000",">=7",4,"male single","none",4,"real estate",37,"stores","own",2,"skilled",1,"yes","yes","good"
"<0",42,"critical/order existing credit","repairs",3394,"<100","unemployed",4,"male single","co applicant",4,"car",65,"stores","own",2,"unemp/unskilled non res",1,"none","yes","good"
">=200",12,"no credits/all paid","business",609,"<100","<1",4,"female div/dep/mar","none",1,"real estate",26,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"no checking",12,"existing paid","new car",1884,"<100",">=7",4,"male single","none",4,"car",39,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",12,"existing paid","furniture/equipment",1620,"<100","1<=X<4",2,"female div/dep/mar","co applicant",3,"life insurance",30,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",20,"delayed previously","other",2629,"<100","1<=X<4",2,"male single","none",3,"car",29,"bank","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","education",719,"<100",">=7",4,"male single","none",4,"car",41,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"0<=X<200",48,"critical/order existing credit","furniture/equipment",5096,"<100","1<=X<4",2,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",9,"critical/order existing credit","education",1244,"no known savings",">=7",4,"female div/dep/mar","none",4,"life insurance",41,"stores","rent",2,"unskilled resident",1,"none","yes","good"
"<0",36,"existing paid","new car",1842,"<100","<1",4,"female div/dep/mar","none",4,"car",34,"stores","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",7,"existing paid","radio/tv",2576,"<100","1<=X<4",2,"male single","guarantor",2,"real estate",35,"stores","own",1,"skilled",1,"none","yes","good"
">=200",12,"existing paid","furniture/equipment",1424,"no known savings",">=7",3,"female div/dep/mar","none",4,"real estate",55,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",15,"delayed previously","repairs",1512,">=1000","1<=X<4",3,"male mar/wid","none",3,"life insurance",61,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",36,"critical/order existing credit","used car",11054,"no known savings","1<=X<4",4,"male single","none",2,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",6,"existing paid","radio/tv",518,"<100","1<=X<4",3,"female div/dep/mar","none",1,"real estate",29,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"no credits/all paid","furniture/equipment",2759,"<100",">=7",2,"male single","none",4,"life insurance",34,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","used car",2670,"<100",">=7",4,"male single","none",4,"car",35,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",24,"existing paid","new car",4817,"<100","4<=X<7",2,"male single","co applicant",3,"life insurance",31,"stores","own",1,"skilled",1,"yes","yes","bad"
"no checking",24,"existing paid","used car",2679,"<100","<1",4,"female div/dep/mar","none",1,"no known property",29,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",11,"critical/order existing credit","new car",3905,"<100","1<=X<4",2,"male single","none",2,"real estate",36,"stores","rent",2,"skilled",2,"none","yes","good"
">=200",12,"existing paid","used car",3386,"<100",">=7",3,"male single","none",4,"no known property",35,"stores","for free",1,"skilled",1,"yes","yes","bad"
"<0",6,"existing paid","domestic appliance",504,"<100","<1",4,"female div/dep/mar","none",1,"real estate",28,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","radio/tv",4594,"<100","<1",3,"male single","none",2,"car",31,"stores","own",1,"skilled",1,"yes","yes","good"
"<0",36,"existing paid","furniture/equipment",3620,"<100","1<=X<4",1,"male single","guarantor",2,"life insurance",37,"stores","own",1,"skilled",2,"none","yes","good"
"<0",15,"existing paid","new car",1721,"<100","<1",2,"male single","none",3,"real estate",36,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","furniture/equipment",3017,"<100","<1",3,"female div/dep/mar","none",1,"real estate",34,"stores","rent",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"0<=X<200",12,"existing paid","retraining",754,"no known savings",">=7",4,"male single","none",4,"life insurance",38,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","business",1950,"<100","4<=X<7",4,"male single","none",1,"car",34,"stores","own",2,"skilled",1,"yes","yes","good"
"<0",24,"existing paid","used car",2924,"<100","1<=X<4",3,"male single","guarantor",4,"no known property",63,"bank","own",1,"skilled",2,"yes","yes","good"
"<0",24,"delayed previously","radio/tv",1659,"<100","<1",4,"female div/dep/mar","none",2,"car",29,"stores","rent",1,"unskilled resident",1,"yes","yes","bad"
"no checking",48,"delayed previously","radio/tv",7238,"no known savings",">=7",3,"male single","none",3,"car",32,"bank","own",2,"skilled",2,"none","yes","good"
"no checking",33,"delayed previously","business",2764,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",26,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",24,"delayed previously","used car",4679,"<100","4<=X<7",3,"male single","none",3,"car",35,"stores","own",2,"unskilled resident",1,"yes","yes","good"
"0<=X<200",24,"existing paid","radio/tv",3092,"100<=X<500","<1",3,"male mar/wid","none",2,"car",22,"stores","rent",1,"skilled",1,"yes","yes","bad"
"<0",6,"existing paid","education",448,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",23,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",9,"existing paid","new car",654,"<100","1<=X<4",4,"male single","none",3,"car",28,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"no checking",6,"existing paid","retraining",1238,"no known savings","unemployed",4,"male single","none",4,"life insurance",36,"stores","own",1,"high qualif/self emp/mgmt",2,"none","yes","good"
"0<=X<200",18,"critical/order existing credit","new car",1245,"<100","1<=X<4",4,"male mar/wid","none",2,"car",33,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",18,"no credits/all paid","furniture/equipment",3107,"<100","<1",1,"female div/dep/mar","none",4,"life insurance",26,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",24,"existing paid","used car",2569,"500<=X<10000","1<=X<4",4,"male single","none",4,"car",24,"stores","own",1,"skilled",1,"none","yes","good"
">=200",24,"existing paid","radio/tv",5152,"<100","4<=X<7",4,"male single","none",2,"car",25,"bank","own",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","business",1037,"100<=X<500","4<=X<7",3,"male single","none",4,"real estate",39,"stores","own",1,"unskilled resident",1,"none","yes","good"
"<0",15,"critical/order existing credit","furniture/equipment",1478,"<100",">=7",4,"male single","none",4,"car",44,"stores","own",2,"skilled",2,"yes","yes","good"
"0<=X<200",12,"critical/order existing credit","radio/tv",3573,"<100","1<=X<4",1,"female div/dep/mar","none",1,"real estate",23,"stores","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",24,"existing paid","new car",1201,"<100","<1",4,"male single","none",1,"life insurance",26,"stores","own",1,"skilled",1,"none","yes","good"
"<0",30,"existing paid","furniture/equipment",3622,">=1000",">=7",4,"female div/dep/mar","none",4,"life insurance",57,"stores","rent",2,"skilled",1,"yes","yes","good"
"no checking",15,"delayed previously","furniture/equipment",960,">=1000","4<=X<7",3,"female div/dep/mar","none",2,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","new car",1163,"500<=X<10000","1<=X<4",4,"male single","none",4,"real estate",44,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",6,"delayed previously","new car",1209,"<100","unemployed",4,"male single","none",4,"life insurance",47,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",12,"existing paid","radio/tv",3077,"<100","1<=X<4",2,"male single","none",4,"car",52,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","new car",3757,"<100",">=7",4,"female div/dep/mar","co applicant",4,"no known property",62,"stores","for free",1,"skilled",1,"yes","yes","good"
"no checking",10,"existing paid","new car",1418,"100<=X<500","1<=X<4",3,"male single","none",2,"real estate",35,"stores","rent",1,"unskilled resident",1,"none","no","good"
"no checking",6,"existing paid","new car",3518,"<100","1<=X<4",2,"male single","guarantor",3,"life insurance",26,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",1934,"<100",">=7",2,"male single","none",2,"no known property",26,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",27,"no credits/all paid","business",8318,"<100",">=7",2,"female div/dep/mar","none",4,"no known property",42,"stores","for free",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",6,"critical/order existing credit","radio/tv",1237,"100<=X<500","1<=X<4",1,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",6,"existing paid","radio/tv",368,"no known savings",">=7",4,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"none","yes","good"
"<0",12,"critical/order existing credit","new car",2122,"<100","<1",3,"male single","none",2,"real estate",39,"stores","rent",2,"unskilled resident",2,"none","no","good"
"<0",24,"existing paid","furniture/equipment",2996,"no known savings","1<=X<4",2,"male mar/wid","none",4,"car",20,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",36,"existing paid","furniture/equipment",9034,"100<=X<500","<1",4,"male single","co applicant",1,"no known property",29,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",24,"critical/order existing credit","furniture/equipment",1585,"<100","4<=X<7",4,"male single","none",3,"life insurance",40,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",18,"existing paid","radio/tv",1301,">=1000",">=7",4,"male mar/wid","guarantor",2,"real estate",32,"stores","own",1,"unskilled resident",1,"none","yes","good"
">=200",6,"critical/order existing credit","new car",1323,"100<=X<500",">=7",2,"male div/sep","none",4,"car",28,"stores","own",2,"skilled",2,"yes","yes","good"
"<0",24,"existing paid","new car",3123,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",36,"existing paid","used car",5493,"<100",">=7",2,"male single","none",4,"no known property",42,"stores","for free",1,"skilled",2,"none","yes","good"
">=200",9,"existing paid","radio/tv",1126,"100<=X<500",">=7",2,"male div/sep","none",4,"real estate",49,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",24,"critical/order existing credit","radio/tv",1216,"<100","<1",4,"male single","none",2,"no known property",38,"bank","own",2,"skilled",2,"none","yes","bad"
"<0",24,"existing paid","new car",1207,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",10,"existing paid","new car",1309,"no known savings","1<=X<4",4,"male single","guarantor",4,"life insurance",27,"stores","own",1,"unskilled resident",1,"none","yes","bad"
">=200",15,"critical/order existing credit","used car",2360,"500<=X<10000","1<=X<4",2,"male single","none",2,"car",36,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",15,"no credits/all paid","new car",6850,"100<=X<500","unemployed",1,"male single","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"no checking",24,"existing paid","radio/tv",1413,"<100","1<=X<4",4,"male mar/wid","none",2,"life insurance",28,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",39,"existing paid","used car",8588,"100<=X<500",">=7",4,"male single","none",2,"car",45,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",12,"existing paid","new car",759,"<100","4<=X<7",4,"male single","none",2,"real estate",26,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",36,"existing paid","used car",4686,"<100","1<=X<4",2,"male single","none",2,"no known property",32,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
">=200",15,"existing paid","business",2687,"<100",">=7",2,"male single","none",4,"life insurance",26,"stores","rent",1,"skilled",1,"yes","yes","good"
"0<=X<200",12,"delayed previously","radio/tv",585,"<100","1<=X<4",4,"male mar/wid","co applicant",4,"real estate",20,"stores","rent",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","new car",2255,"no known savings","<1",4,"male single","none",1,"life insurance",54,"stores","own",1,"skilled",1,"none","yes","good"
"<0",6,"critical/order existing credit","new car",609,"<100","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",37,"stores","own",2,"skilled",1,"none","no","good"
"<0",6,"critical/order existing credit","new car",1361,"<100","<1",2,"male single","none",4,"real estate",40,"stores","own",1,"unskilled resident",2,"none","no","good"
"no checking",36,"critical/order existing credit","furniture/equipment",7127,"<100","<1",2,"female div/dep/mar","none",4,"life insurance",23,"stores","rent",2,"skilled",1,"yes","yes","bad"
"<0",6,"existing paid","new car",1203,"100<=X<500",">=7",3,"male single","none",2,"life insurance",43,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",700,"no known savings",">=7",4,"male single","none",4,"no known property",36,"stores","for free",2,"skilled",1,"none","yes","good"
"no checking",22,"critical/order existing credit","repairs",5507,"<100",">=7",3,"male single","none",4,"no known property",44,"stores","for free",2,"skilled",1,"none","yes","good"
"<0",18,"existing paid","radio/tv",3190,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",48,"no credits/all paid","furniture/equipment",7119,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"stores","for free",2,"skilled",2,"none","yes","bad"
"no checking",24,"existing paid","used car",3488,"100<=X<500","4<=X<7",3,"female div/dep/mar","none",4,"car",23,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",18,"existing paid","radio/tv",1113,"<100","1<=X<4",4,"female div/dep/mar","guarantor",4,"real estate",26,"stores","own",1,"unskilled resident",2,"none","yes","good"
"0<=X<200",26,"existing paid","used car",7966,"<100","<1",2,"male single","none",3,"car",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",15,"critical/order existing credit","education",1532,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",3,"car",31,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",4,"critical/order existing credit","radio/tv",1503,"<100","4<=X<7",2,"male single","none",1,"real estate",42,"stores","own",2,"unskilled resident",2,"none","yes","good"
"<0",36,"existing paid","radio/tv",2302,"<100","1<=X<4",4,"male div/sep","none",4,"car",31,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",6,"existing paid","new car",662,"<100","<1",3,"male single","none",4,"real estate",41,"stores","own",1,"unskilled resident",2,"yes","yes","good"
"0<=X<200",36,"existing paid","education",2273,"<100","4<=X<7",3,"male single","none",4,"car",32,"stores","own",2,"skilled",2,"none","yes","good"
"0<=X<200",15,"existing paid","new car",2631,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",27,"stores","rent",2,"skilled",1,"yes","yes","bad"
"no checking",12,"delayed previously","used car",1503,"<100","1<=X<4",4,"male mar/wid","none",4,"real estate",41,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",1311,"100<=X<500","4<=X<7",4,"male mar/wid","none",3,"life insurance",26,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","radio/tv",3105,"no known savings","<1",4,"male single","none",2,"car",25,"stores","own",2,"skilled",1,"none","yes","good"
">=200",21,"critical/order existing credit","education",2319,"<100","<1",2,"male div/sep","none",1,"car",33,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",6,"existing paid","new car",1374,"no known savings","unemployed",4,"female div/dep/mar","none",3,"life insurance",75,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",3612,"<100",">=7",3,"female div/dep/mar","none",4,"life insurance",37,"stores","own",1,"skilled",1,"yes","yes","good"
"<0",48,"existing paid","new car",7763,"<100",">=7",4,"male single","none",4,"no known property",42,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
">=200",18,"existing paid","furniture/equipment",3049,"<100","<1",1,"female div/dep/mar","none",1,"life insurance",45,"stores","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",1534,"<100","<1",1,"male mar/wid","none",1,"real estate",23,"stores","rent",1,"skilled",1,"none","yes","bad"
"no checking",24,"delayed previously","new car",2032,"<100",">=7",4,"male single","none",4,"no known property",60,"stores","for free",2,"skilled",1,"yes","yes","good"
"<0",24,"existing paid","furniture/equipment",6350,"no known savings",">=7",4,"male single","none",4,"life insurance",31,"stores","own",1,"skilled",1,"none","yes","bad"
">=200",18,"existing paid","furniture/equipment",2864,"<100","1<=X<4",2,"male single","none",1,"real estate",34,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"no checking",12,"critical/order existing credit","new car",1255,"<100",">=7",4,"male single","none",4,"real estate",61,"stores","own",2,"unskilled resident",1,"none","yes","good"
"<0",24,"delayed previously","new car",1333,"<100","unemployed",4,"male single","none",2,"real estate",43,"stores","for free",2,"skilled",2,"none","yes","bad"
"no checking",24,"critical/order existing credit","new car",2022,"<100","1<=X<4",4,"female div/dep/mar","none",4,"car",37,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","radio/tv",1552,"<100","4<=X<7",3,"male single","none",1,"car",32,"bank","own",1,"skilled",2,"none","yes","good"
"<0",12,"no credits/all paid","radio/tv",626,"<100","1<=X<4",4,"female div/dep/mar","none",4,"real estate",24,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"no checking",48,"critical/order existing credit","used car",8858,"no known savings","4<=X<7",2,"male single","none",1,"no known property",35,"stores","for free",2,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","repairs",996,"no known savings","4<=X<7",4,"female div/dep/mar","none",4,"real estate",23,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",6,"no credits/all paid","radio/tv",1750,"500<=X<10000",">=7",2,"male single","none",4,"life insurance",45,"bank","own",1,"unskilled resident",2,"none","yes","good"
"<0",48,"existing paid","radio/tv",6999,"<100","4<=X<7",1,"male mar/wid","guarantor",1,"real estate",34,"stores","own",2,"skilled",1,"yes","yes","bad"
"0<=X<200",12,"critical/order existing credit","new car",1995,"100<=X<500","<1",4,"male single","none",1,"car",27,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",9,"existing paid","education",1199,"<100","4<=X<7",4,"female div/dep/mar","none",4,"life insurance",67,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",12,"existing paid","radio/tv",1331,"<100","<1",2,"male single","none",1,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",18,"no credits/all paid","new car",2278,"100<=X<500","<1",3,"female div/dep/mar","none",3,"car",28,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",21,"no credits/all paid","new car",5003,"100<=X<500","1<=X<4",1,"female div/dep/mar","none",4,"life insurance",29,"bank","own",2,"skilled",1,"yes","yes","bad"
"<0",24,"no credits/all paid","furniture/equipment",3552,"<100","4<=X<7",3,"male single","none",4,"car",27,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",1928,"<100","<1",2,"male single","none",2,"real estate",31,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"<0",24,"existing paid","used car",2964,"no known savings",">=7",4,"male single","none",4,"no known property",49,"bank","for free",1,"skilled",2,"yes","yes","good"
"<0",24,"no credits/all paid","radio/tv",1546,"<100","4<=X<7",4,"male single","guarantor",4,"car",24,"bank","rent",1,"unskilled resident",1,"none","yes","bad"
">=200",6,"delayed previously","radio/tv",683,"<100","<1",2,"female div/dep/mar","none",1,"life insurance",29,"bank","own",1,"skilled",1,"none","yes","good"
"0<=X<200",36,"existing paid","new car",12389,"no known savings","1<=X<4",1,"male single","none",4,"no known property",37,"stores","for free",1,"skilled",1,"yes","yes","bad"
"0<=X<200",24,"delayed previously","business",4712,"no known savings","1<=X<4",4,"male single","none",2,"life insurance",37,"bank","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",24,"delayed previously","radio/tv",1553,"100<=X<500","4<=X<7",3,"female div/dep/mar","none",2,"life insurance",23,"stores","rent",2,"skilled",1,"yes","yes","good"
"<0",12,"existing paid","new car",1372,"<100","4<=X<7",2,"male div/sep","none",3,"car",36,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",24,"critical/order existing credit","radio/tv",2578,">=1000",">=7",2,"male single","none",2,"car",34,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",48,"existing paid","radio/tv",3979,"no known savings","4<=X<7",4,"male single","none",1,"car",41,"stores","own",2,"skilled",2,"yes","yes","good"
"0<=X<200",48,"existing paid","radio/tv",6758,"<100","1<=X<4",3,"female div/dep/mar","none",2,"car",31,"stores","own",1,"skilled",1,"yes","yes","bad"
"<0",24,"existing paid","furniture/equipment",3234,"<100","<1",4,"female div/dep/mar","none",4,"real estate",23,"stores","rent",1,"unskilled resident",1,"yes","yes","bad"
"no checking",30,"critical/order existing credit","radio/tv",5954,"<100","4<=X<7",3,"male single","co applicant",2,"car",38,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","used car",5433,"no known savings","unemployed",2,"female div/dep/mar","none",4,"life insurance",26,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",15,"existing paid","business",806,"<100","1<=X<4",4,"female div/dep/mar","none",4,"life insurance",22,"stores","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",9,"existing paid","radio/tv",1082,"<100",">=7",4,"male single","none",4,"car",27,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",15,"critical/order existing credit","furniture/equipment",2788,"<100","4<=X<7",2,"female div/dep/mar","co applicant",3,"car",24,"bank","own",2,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",2930,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",27,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"critical/order existing credit","education",1927,"no known savings","1<=X<4",3,"female div/dep/mar","none",2,"car",33,"stores","own",2,"skilled",1,"yes","yes","good"
"0<=X<200",36,"critical/order existing credit","new car",2820,"<100","<1",4,"male div/sep","none",4,"car",27,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",24,"existing paid","retraining",937,"<100","<1",4,"male mar/wid","none",3,"car",27,"stores","own",2,"unskilled resident",1,"none","yes","good"
"0<=X<200",18,"critical/order existing credit","new car",1056,"<100",">=7",3,"male single","guarantor",3,"real estate",30,"bank","own",2,"skilled",1,"none","yes","bad"
